name,description,value,type,default_value
max_size,maximum external message size in bytes,65535,uint32,65535
max_depth,maximum external message depth,512,uint16,512
max_msg_bits,maximum message size in bits,2097152,uint32,2097152
max_msg_cells,maximum number of cells (a form of storage unit) a message can occupy,8192,uint32,8192
max_vm_data_depth,maximum cell depth in messages and c4 & c5 registers,512,uint16,512
max_actions,maximum amount of actions,256,uint32,256
max_library_cells,maximum number of library cells in library,1000,uint32,1000
max_acc_state_cells,maximum number of cells that an account state can occupy,65536,uint32,65536
max_acc_state_bits,maximum account state size in bits,67043328,uint32,67043328
max_acc_public_libraries,maximum amount of public libraries for account. if account status is uninit and account is on masterchain then 0 else 256,256,uint32,256
free_stack_depth,stack depth without gas consumption,32,enum_value,32
runvm_gas_price,vm start gas consumption,40,enum_value,40
flat_gas_limit,gas below flat_gas_limit is provided at price of flat_gas_price,100,uint64,0
flat_gas_price,costs of launching the TON Virtual Machine,100000,uint64,0
gas_price,price of gas in the network in nanotons per 65536 gas units,65536000,uint64,0
special_gas_limit,limit on the amount of gas that can be consumed per transaction of a special (system) contract,1000000,uint64,0
gas_limit,maximum amount of gas that can be consumed per transaction,1000000,uint64,0
gas_credit,credit in gas units that is provided to transactions for the purpose of checking an external message,10000,uint64,0
block_gas_limit,maximum amount of gas that can be consumed within a single block,10000000,uint64,0
freeze_due_limit,accumulated storage fees (in nanoTON) at which a contract is frozen,100000000,uint64,0
delete_due_limit,accumulated storage fees (in nanoTON) at which a contract is deleted,1000000000,uint64,0
mc_flat_gas_limit,gas below flat_gas_limit is provided at price of flat_gas_price on masterchain,100,uint64,0
mc_flat_gas_price,costs of launching the TON Virtual Machine on masterchain,1000000,uint64,0
mc_gas_price,price of gas in the network in nanotons per 65536 gas units on masterchain,655360000,uint64,0
mc_special_gas_limit,limit on the amount of gas that can be consumed per transaction of a special (system) contract on masterchain,35000000,uint64,0
mc_gas_limit,maximum amount of gas that can be consumed per transaction on masterchain,1000000,uint64,0
mc_gas_credit,credit in gas units that is provided to transactions for the purpose of checking an external message on masterchain,10000,uint64,0
